Audio,Darwin,Josefina,Richard,Sayuri,N1,N2,N3,N4
13017,4,1,4,4,,,,
13018,4,2,4,5,,,,
13019,2,2,4,1,,,,
13020,2,1,4,5,,,,
13021,4,5,4,3,,,,
13022,4,5,4,1,,,,
13023,4,4,4,1,,,,
13024,1,2,2,1,,,,
13025,2,2,2,4,,,,
13026,3,2,2,5,,,,
13027,2,5,2,1,,,,
13028,3,3,2,5,,,,
13029,2,2,4,3,,,,
13030,2,4,1,1,,,,
13031,2,3,2,1,,,,
13032,2,1,4,1,,,,
13033,2,1,2,4,,,,
13034,4,5,4,5,,,,
13035,1,1,1,1,,,,
13036,1,1,1,5,,,,
13037,4,4,4,3,,,,
13038,3,1,2,3,,,,
13039,4,5,4,4,,,,
13040,1,1,1,5,,,,
13041,2,1,4,1,,,,
13042,2,2,1,5,,,,
13043,2,5,2,3,,,,
13044,2,1,4,3,,,,
13045,2,2,4,4,,,,
13046,2,1,1,5,,,,
13047,2,2,4,1,,,,
13048,3,2,4,5,,,,
13049,2,1,1,3,,,,
13050,4,5,4,3,,,,
13051,3,4,3,4,,,,
13052,2,2,4,5,,,,
13053,1,1,1,1,,,,
13054,1,1,1,5,,,,
13055,4,4,2,3,,,,
13056,2,1,4,3,,,,
13057,2,1,5,4,,,,
13058,4,4,4,5,,,,
13059,2,2,4,1,,,,
13060,1,1,1,5,,,,
13061,2,2,2,3,,,,
13062,2,1,5,3,,,,
13063,2,2,2,4,,,,
13064,4,5,4,5,,,,
13065,4,4,2,1,,,,
13066,4,2,5,5,,,,
13067,4,5,4,3,,,,
13068,4,2,5,3,,,,
13069,4,1,4,4,,,,
13070,4,1,5,5,,,,
13071,4,5,4,1,,,,
13072,4,2,2,5,,,,
13073,3,2,4,3,,,,
13074,4,4,4,5,,,,
13075,4,2,5,3,,,,
13076,2,4,1,3,,,,
13077,3,3,2,4,,,,
13078,4,5,4,5,,,,
13079,4,1,5,1,,,,
13080,4,4,4,5,,,,
13081,4,4,4,3,,,,
13082,4,5,4,3,,,,
13083,1,1,1,4,,,,
13084,2,2,5,5,,,,
13085,2,1,1,1,,,,
13086,4,5,4,5,,,,
13087,4,4,4,3,,,,
13088,4,5,4,1,,,,
13089,4,1,4,1,,,,
13090,4,5,2,4,,,,
13091,4,5,4,4,,,,
13092,1,1,1,2,,,,
13093,2,2,2,1,,,,
13094,4,2,4,4,,,,
13095,4,1,4,5,,,,
13096,4,4,2,1,,,,
13097,3,2,5,1,,,,
13098,4,5,4,5,,,,
13099,4,2,5,1,,,,
13100,4,4,2,1,,,,
13101,2,1,1,4,,,,
13102,2,4,2,4,,,,
13103,2,2,3,2,,,,
13104,4,2,4,1,,,,
13105,2,2,4,4,,,,
13106,3,3,2,5,,,,
13107,2,4,5,5,,,,
13108,2,4,5,5,,,,
13109,3,4,5,4,,,,
13110,3,2,5,3,,,,
13111,2,2,4,5,,,,
13112,2,1,1,2,,,,
13113,4,4,4,5,,,,
13114,4,4,4,5,,,,
13115,4,4,4,4,,,,
13116,3,4,5,5,,,,
13117,3,3,3,2,,,,
13118,4,4,4,1,,,,
13119,4,5,4,4,,,,
13120,4,4,5,4,,,,
13121,1,1,5,1,,,,
13122,5,5,4,5,,,,
13123,2,2,5,2,,,,
13124,3,4,5,4,,,,
13125,4,4,5,4,,,,
13126,2,2,5,5,,,,
13127,2,2,2,1,,,,
13128,1,1,1,4,,,,
13129,3,3,5,5,,,,
13130,2,3,2,1,,,,
13131,2,4,2,2,,,,
13132,3,3,5,4,,,,
13133,2,4,5,5,,,,
13134,2,2,5,5,,,,
13135,4,4,4,4,,,,
13136,2,4,2,2,,,,
13137,3,3,3,5,,,,
13138,2,4,5,5,,,,
13139,1,1,1,1,,,,
13140,4,5,4,4,,,,
13141,2,5,2,3,,,,
13142,3,4,2,2,,,,
13143,4,4,4,5,,,,
13144,2,2,2,1,,,,
13145,4,5,2,4,,,,
13146,4,4,4,2,,,,
13147,1,1,1,1,,,,
13148,3,3,2,2,,,,
13149,4,5,4,4,,,,
13150,1,1,1,1,,,,
13151,3,5,2,2,,,,
13152,2,2,5,5,,,,
13153,4,5,4,5,,,,
13154,4,5,2,4,,,,
13155,4,4,5,4,,,,
13156,4,5,2,5,,,,
13157,2,2,4,4,,,,
13158,4,5,4,4,,,,
13159,1,1,1,1,,,,
13160,3,3,5,1,,,,
13161,3,2,5,4,,,,
13162,4,4,4,4,,,,
13163,3,2,5,3,,,,
13164,3,3,5,1,,,,
13165,4,3,5,2,,,,
13166,4,5,2,1,,,,
13167,2,2,5,2,,,,
13168,4,4,2,2,,,,
13169,2,2,5,4,,,,
13170,2,2,2,3,,,,
13171,3,2,4,1,,,,
13172,2,3,2,2,,,,
13173,2,1,1,1,,,,
13174,2,2,5,2,,,,
13175,4,5,4,1,,,,
13176,2,3,3,4,,,,
13177,4,4,4,2,,,,
13178,4,5,5,4,,,,
13179,2,2,5,4,,,,
13180,4,4,5,5,,,,
13181,4,2,5,2,,,,
13182,3,3,5,1,,,,
13183,1,1,1,1,,,,
13184,2,4,5,5,,,,
13185,3,4,4,4,,,,
13186,2,2,4,2,,,,
13187,2,2,5,3,,,,
13188,4,3,4,2,,,,
13189,2,3,2,1,,,,
13190,4,5,4,1,,,,
13191,1,1,1,1,,,,
13192,4,4,5,3,,,,
13193,2,4,4,4,,,,
13194,4,5,4,4,,,,
13195,5,5,4,5,,,,
13196,2,4,2,1,,,,
13197,3,3,2,3,,,,
13198,2,4,5,3,,,,
13199,3,3,3,1,,,,
13200,2,3,4,5,,,,
13201,4,4,4,5,,,,
13202,2,4,2,3,,,,
13203,4,4,4,5,,,,
13204,3,3,3,3,,,,
13205,2,2,5,5,,,,
13206,4,5,4,2,,,,
13207,4,5,4,1,,,,
13208,4,4,4,5,,,,
13209,4,5,4,5,,,,
13210,3,3,5,1,,,,
13211,4,4,5,2,,,,
13212,2,4,2,5,,,,
13213,1,5,1,1,,,,
13214,4,3,4,3,,,,
13215,2,4,5,4,,,,
13216,4,3,5,5,,,,
13217,2,3,2,2,,,,
13218,2,4,4,3,,,,
13219,1,4,2,3,,,,
13220,4,4,4,4,,,,
13221,2,4,4,3,,,,
13222,3,3,4,5,,,,
13223,4,3,2,2,,,,
13224,2,3,2,5,,,,
13225,4,5,4,4,,,,
13226,2,2,4,1,,,,
13227,3,4,4,5,,,,
13228,4,4,3,2,,,,
13229,2,4,4,3,,,,
13230,1,1,1,1,,,,
13231,2,4,5,2,,,,
13232,2,2,5,4,,,,
13233,3,3,4,1,,,,
13234,4,5,4,4,,,,
13235,4,3,5,1,,,,
13236,2,2,4,3,,,,
13237,1,1,1,5,,,,
13238,1,1,1,5,,,,
13239,4,3,4,2,,,,
13240,4,4,4,1,,,,
13241,3,4,4,4,,,,
13242,1,1,2,1,,,,
13243,2,3,4,4,,,,
13244,4,4,4,4,,,,
13245,2,2,5,1,,,,
13246,4,4,4,4,,,,
13247,4,3,5,5,,,,
13248,2,2,4,5,,,,
13249,3,4,5,5,,,,
13250,1,1,2,4,,,,
13251,4,4,5,3,,,,
13252,4,4,4,5,,,,
13253,1,1,1,2,,,,
13254,1,1,1,5,,,,
13255,4,5,4,5,,,,
13256,2,1,1,4,,,,
13257,4,4,4,5,,,,
13258,4,3,2,2,,,,
13259,2,4,1,1,,,,
13260,2,4,2,4,,,,
13261,2,3,4,4,,,,
13262,3,3,3,1,,,,
13263,3,3,4,5,,,,
13264,1,1,1,2,,,,
13265,4,4,4,4,,,,
13266,2,3,4,4,,,,
13267,2,3,2,5,,,,
13268,1,1,1,1,,,,
13269,4,4,4,4,,,,
13270,2,3,4,5,,,,
13271,2,3,5,1,,,,
13272,3,3,5,2,,,,
13273,2,2,5,4,,,,
13274,2,2,4,5,,,,
13275,2,3,2,5,,,,
13276,2,3,4,4,,,,
13277,4,2,4,2,,,,
13278,4,4,4,5,,,,
13279,2,3,5,5,,,,
13280,2,4,4,1,,,,
13281,2,3,5,4,,,,
13282,4,3,5,3,,,,
13283,1,5,1,2,,,,
13284,4,3,2,5,,,,
13285,2,4,5,1,,,,
13286,2,4,4,4,,,,
13287,1,1,1,2,,,,
13288,4,4,5,1,,,,
13289,4,4,4,2,,,,
13290,4,5,4,4,,,,
13291,3,3,5,1,,,,
13292,2,1,1,2,,,,
13293,4,4,4,5,,,,
13294,2,1,1,5,,,,
13295,3,3,3,4,,,,
13296,1,1,1,4,,,,
13297,2,2,5,5,,,,
13298,2,4,1,4,,,,
13299,4,3,4,4,,,,
13300,1,1,1,1,,,,
13301,3,3,5,1,,,,
13302,2,2,1,4,,,,
13303,4,4,4,4,,,,
13304,2,4,5,3,,,,
13305,2,1,1,1,,,,
13306,1,1,1,2,,,,
13307,2,2,5,1,,,,
13308,4,3,5,2,,,,
13309,4,4,4,2,,,,
13310,3,1,2,4,,,,
13311,2,2,5,3,,,,
13312,2,4,4,1,,,,
13313,3,3,3,2,,,,
13314,4,4,3,1,,,,
13315,4,5,5,2,,,,
13316,2,2,5,1,,,,
13317,2,3,3,4,,,,
13318,4,5,4,2,,,,
13319,3,2,2,4,,,,
13320,2,3,5,4,,,,
13321,1,1,1,5,,,,
13322,3,4,5,2,,,,
13323,2,3,2,1,,,,
13324,1,1,1,1,,,,
13325,4,5,5,5,,,,
13326,2,4,1,4,,,,
13327,4,4,5,2,,,,
13328,4,5,4,3,,,,
13329,3,3,3,2,,,,
13330,4,4,4,1,,,,
13331,3,3,2,1,,,,
13332,4,4,5,1,,,,
13333,3,3,2,3,,,,
13334,3,3,4,4,,,,
13335,3,3,5,4,,,,
13336,2,3,4,5,,,,
13337,2,3,4,1,,,,
13338,2,4,4,3,,,,
13339,3,4,4,3,,,,
13340,2,1,1,1,,,,
13341,4,4,5,5,,,,
13342,2,4,5,5,,,,
13343,4,4,4,3,,,,
13344,3,3,5,5,,,,
13345,3,3,5,3,,,,
13346,3,3,2,5,,,,
13347,3,2,2,2,,,,
13348,4,4,4,1,,,,
13349,4,4,2,5,,,,
13350,2,5,1,5,,,,
13351,2,4,4,1,,,,
13352,2,4,4,2,,,,
13353,3,3,5,5,,,,
13354,2,2,4,1,,,,
13355,1,1,1,3,,,,
13356,1,1,1,4,,,,
13357,4,3,5,5,,,,
13358,3,4,4,2,,,,
13359,4,4,4,3,,,,
13360,1,1,1,3,,,,
13361,2,2,1,4,,,,
13362,2,4,4,3,,,,
13363,1,1,1,5,,,,
13364,4,2,5,2,,,,
13365,1,1,1,5,,,,
13366,4,4,3,4,,,,
13367,1,4,1,1,,,,
13368,2,4,5,5,,,,
13369,4,5,4,2,,,,
13370,4,5,4,3,,,,
13371,4,2,4,1,,,,
13372,3,3,5,2,,,,
13373,2,3,5,4,,,,
13374,4,5,4,1,,,,
13375,4,4,4,4,,,,
13376,2,4,4,1,,,,
13377,3,3,3,3,,,,
13378,2,3,3,5,,,,
13379,2,3,2,5,,,,
13380,4,4,4,2,,,,
13381,4,4,4,1,,,,
13382,4,4,2,4,,,,
13383,3,4,4,1,,,,
13384,4,3,4,4,,,,
13385,3,4,2,4,,,,
13386,4,4,4,1,,,,
13387,4,4,4,4,,,,
13388,2,1,1,5,,,,
13389,2,4,2,5,,,,
13390,4,4,4,5,,,,
13391,2,4,4,4,,,,
13392,4,3,4,3,,,,
13393,3,3,4,5,,,,
13394,2,1,1,2,,,,
13395,2,2,4,5,,,,
13396,1,1,1,5,,,,
13397,4,4,4,4,,,,
13398,2,3,2,5,,,,
13399,2,2,2,2,,,,
13400,2,2,4,1,,,,
13401,3,4,4,4,,,,
13402,3,3,2,4,,,,
13403,4,4,5,1,,,,
13404,2,1,1,5,,,,
13405,4,5,4,2,,,,
13406,4,4,4,4,,,,
13407,4,5,4,4,,,,
13408,4,4,4,5,,,,
13409,4,4,2,1,,,,
13410,4,4,5,4,,,,
13411,1,2,2,5,,,,
13412,2,3,4,1,,,,
13413,3,3,2,2,,,,
13414,4,4,2,4,,,,
13415,4,2,4,5,,,,
13416,3,2,5,5,,,,
13417,3,3,2,4,,,,
13418,1,1,1,2,,,,
13419,2,2,2,5,,,,
13420,4,4,5,5,,,,
13421,4,5,4,1,,,,
13422,1,4,4,4,,,,
13423,2,2,4,3,,,,
13424,1,1,1,2,,,,
13425,4,5,4,5,,,,
13426,4,4,4,1,,,,
13427,4,3,3,4,,,,
13428,3,3,4,2,,,,
13429,1,1,1,1,,,,
13430,2,2,5,2,,,,
13431,2,1,1,4,,,,
13432,4,4,4,1,,,,
13433,1,1,1,2,,,,
13434,4,3,4,5,,,,
13435,4,4,2,5,,,,
13436,3,3,2,4,,,,
13437,2,4,2,4,,,,
13438,3,4,5,5,,,,
13439,4,4,2,4,,,,
13440,4,4,4,4,,,,
13441,1,1,1,1,,,,
13442,4,4,4,1,,,,
13443,2,5,1,4,,,,
13444,4,4,4,4,,,,
13445,4,4,2,3,,,,
13446,3,5,2,1,,,,
13447,4,4,4,2,,,,
13448,3,2,5,1,,,,
13449,2,1,1,2,,,,
13450,4,4,2,2,,,,
13451,1,4,1,4,,,,
13452,1,5,4,3,,,,
13453,4,3,5,1,,,,
13454,2,3,5,2,,,,
13455,4,3,1,1,,,,
13456,4,3,5,2,,,,
13457,2,4,4,1,,,,
13458,4,5,4,4,,,,
13459,2,2,5,2,,,,
13460,2,4,5,4,,,,
13461,2,4,4,4,,,,
13462,4,3,4,5,,,,
13463,2,4,2,2,,,,
13464,1,1,1,1,,,,
13465,4,5,4,1,,,,
13466,4,3,2,5,,,,
13467,3,4,4,4,,,,
13468,1,1,1,2,,,,
13469,4,5,4,3,,,,
13470,2,2,4,2,,,,
13471,4,4,5,1,,,,
13472,1,1,1,1,,,,
13473,2,1,1,1,,,,
13474,1,1,1,3,,,,
13475,3,3,2,4,,,,
13476,2,4,4,4,,,,
13477,4,3,3,5,,,,
13478,2,4,5,1,,,,
13479,2,2,4,3,,,,
13480,2,4,4,3,,,,
13481,4,4,5,1,,,,
13482,4,3,4,5,,,,
13483,4,4,5,5,,,,
13484,4,4,4,3,,,,
13485,4,1,1,5,,,,
13486,1,1,4,3,,,,
13487,1,1,1,5,,,,
13488,4,3,4,2,,,,
13489,1,1,1,1,,,,
13490,4,5,4,5,,,,
13491,4,2,5,5,,,,
13492,4,3,2,1,,,,
13493,4,5,4,2,,,,
13494,4,3,2,5,,,,
13495,4,3,4,1,,,,
13496,2,3,5,3,,,,
13497,4,4,4,4,,,,
13498,2,4,1,5,,,,
13499,4,5,4,2,,,,
13500,2,4,2,3,,,,
13501,4,3,2,3,,,,
13502,4,4,2,4,,,,
13503,4,1,1,3,,,,
13504,2,2,4,5,,,,
13505,2,1,1,2,,,,
13506,4,4,1,5,,,,
13507,1,1,1,4,,,,
13508,4,4,2,1,,,,
13509,2,1,1,5,,,,
13510,4,4,4,2,,,,
13511,4,4,4,3,,,,
13512,2,2,1,1,,,,
13513,2,4,2,2,,,,
13514,4,2,2,4,,,,
13515,3,2,4,1,,,,
13516,3,3,5,4,,,,
13517,3,1,1,1,,,,
13518,2,2,4,3,,,,
13519,2,3,3,5,,,,
13520,4,4,4,5,,,,
13521,3,3,4,2,,,,
13522,4,3,5,1,,,,
13523,3,3,5,4,,,,
13524,2,4,1,1,,,,
13525,4,4,2,4,,,,
13526,4,4,4,4,,,,
13527,4,5,5,1,,,,
13528,4,3,5,4,,,,
13529,5,5,4,5,,,,
13530,2,1,1,5,,,,
13531,3,2,4,5,,,,
13532,4,4,5,4,,,,
13533,4,4,4,3,,,,
13534,4,4,4,5,,,,
13535,2,2,2,2,,,,
13536,3,4,2,5,,,,
13537,4,2,5,5,,,,
13538,2,3,1,4,,,,
13539,3,1,1,5,,,,
13540,4,3,5,2,,,,
13541,4,4,4,1,,,,
13542,2,2,5,4,,,,
13543,2,3,5,4,,,,
13544,4,4,5,1,,,,
13545,3,5,4,5,,,,
13546,4,5,4,2,,,,
13547,1,1,1,4,,,,
13548,4,4,4,4,,,,
13549,4,5,2,5,,,,
13550,1,1,1,1,,,,
13551,4,4,2,4,,,,
13552,4,3,3,5,,,,
13553,2,1,1,1,,,,
13554,3,3,2,2,,,,
13555,4,4,5,4,,,,
13556,4,4,4,5,,,,
13557,2,4,5,5,,,,
13558,2,3,2,4,,,,
13559,2,1,1,2,,,,
13560,2,4,5,5,,,,
13561,3,3,3,5,,,,
13562,3,1,1,1,,,,
13563,2,3,4,4,,,,
13564,4,4,4,3,,,,
13565,3,1,1,2,,,,
13566,2,3,4,5,,,,
13567,4,4,4,1,,,,
13568,2,1,2,4,,,,
13569,4,4,4,2,,,,
13570,4,3,5,1,,,,
13571,2,4,1,2,,,,
13572,4,3,4,4,,,,
13573,4,3,3,1,,,,
13574,4,4,4,2,,,,
13575,4,4,5,5,,,,
13576,4,4,2,5,,,,
13577,4,4,5,4,,,,
13578,4,4,5,4,,,,
13579,1,1,2,5,,,,
13580,2,2,5,4,,,,
13581,2,2,4,4,,,,
13582,2,2,4,1,,,,
13583,2,2,2,1,,,,
13584,2,2,4,4,,,,
13585,2,2,5,4,,,,
13586,2,4,2,3,,,,
13587,4,3,4,1,,,,
13588,4,3,4,2,,,,
13589,4,3,3,1,,,,
13590,2,1,2,2,,,,
13591,3,1,1,2,,,,
13592,1,1,1,4,,,,
13593,1,1,1,3,,,,
13594,2,3,4,1,,,,
13595,4,4,5,2,,,,
13596,4,4,4,1,,,,
13597,4,3,2,2,,,,
13598,4,5,4,1,,,,
13599,2,2,2,4,,,,
13600,4,4,4,2,,,,
13601,2,3,2,4,,,,
13602,2,3,5,4,,,,
13603,2,1,1,5,,,,
13604,4,4,3,2,,,,
13605,4,2,4,1,,,,
13606,2,2,5,1,,,,
13607,4,4,1,5,,,,
13608,4,3,2,4,,,,
13609,4,5,4,2,,,,
13610,3,3,5,3,,,,
13611,2,4,2,2,,,,
13612,4,4,4,1,,,,
13613,4,4,4,1,,,,
13614,3,3,5,1,,,,
13615,2,4,4,3,,,,
13616,2,3,2,4,,,,
13617,3,3,2,4,,,,
13618,1,1,1,5,,,,
13619,2,4,4,1,,,,
13620,2,2,4,3,,,,
13621,2,2,4,3,,,,
13622,1,1,1,1,,,,
13623,2,3,5,5,,,,
13624,3,3,5,5,,,,
13625,3,3,5,3,,,,
13626,4,4,2,5,,,,
13627,2,4,5,3,,,,
13628,1,4,3,5,,,,
13629,4,4,5,2,,,,
13630,2,1,2,1,,,,
13631,1,1,1,5,,,,
13632,2,2,4,5,,,,
13633,4,4,5,1,,,,
13634,4,5,4,2,,,,
13635,4,3,4,5,,,,
13636,2,3,5,1,,,,
13637,4,4,5,3,,,,
13638,4,3,3,4,,,,
13639,4,4,4,5,,,,
13640,2,2,2,2,,,,
13641,4,3,2,3,,,,
13642,3,4,5,3,,,,
13643,4,4,4,4,,,,
13644,2,2,5,3,,,,
13645,1,1,1,5,,,,
13646,5,4,4,2,,,,
13647,2,2,4,5,,,,
13648,4,3,3,4,,,,
13649,4,4,2,1,,,,
13650,5,5,4,5,,,,
13651,2,1,1,2,,,,
13652,1,1,1,3,,,,
13653,1,1,1,1,,,,
13654,2,4,1,2,,,,
13655,4,4,2,4,,,,
13656,4,4,4,1,,,,
13657,2,1,1,4,,,,
13658,3,3,3,1,,,,
13659,4,4,4,3,,,,
13660,3,3,1,5,,,,
13661,2,3,1,5,,,,
13662,2,4,4,2,,,,
13663,2,4,4,1,,,,
13664,4,4,4,4,,,,
13665,2,4,4,1,,,,
13666,2,4,4,4,,,,
13667,4,4,4,4,,,,
13668,2,1,2,1,,,,
13669,2,3,3,4,,,,
13670,2,2,2,5,,,,
13671,1,1,1,5,,,,
13672,4,3,4,5,,,,
13673,4,4,4,4,,,,
13674,4,5,3,3,,,,
13675,2,1,1,5,,,,
13676,4,5,4,2,,,,
13677,4,4,5,5,,,,
13678,4,4,5,5,,,,
13679,2,4,1,4,,,,
13680,2,3,2,5,,,,
13681,2,3,3,2,,,,
13682,2,3,5,1,,,,
13683,2,2,5,4,,,,
13684,4,4,3,4,,,,
13685,1,2,5,1,,,,
13686,2,3,2,5,,,,
13687,4,3,4,2,,,,
13688,2,3,5,4,,,,
13689,4,4,2,4,,,,
13690,4,3,1,5,,,,
13691,4,4,5,1,,,,
13692,3,3,3,4,,,,
13693,3,3,2,5,,,,
13694,2,3,3,1,,,,
13695,4,3,3,2,,,,
13696,4,5,5,4,,,,
13697,2,3,4,5,,,,
13698,3,3,2,5,,,,
13699,2,3,5,4,,,,
13700,2,4,1,2,,,,
13701,4,2,2,5,,,,
13702,4,3,3,5,,,,
13703,4,4,4,1,,,,
13704,2,1,2,4,,,,
13705,4,3,4,3,,,,
13706,4,4,3,2,,,,
13707,2,2,2,5,,,,
13708,4,5,4,1,,,,
13709,4,3,5,4,,,,
13710,4,3,5,2,,,,
13711,4,3,5,1,,,,
13712,3,3,5,2,,,,
13713,1,1,1,4,,,,
13714,4,3,4,1,,,,
13715,1,4,1,2,,,,
13716,2,3,4,5,,,,
13717,3,3,5,5,,,,
13718,1,4,5,4,,,,
13719,2,3,5,4,,,,
13720,3,4,4,5,,,,
13721,3,4,5,4,,,,
13722,4,4,4,4,,,,
13723,3,1,1,1,,,,
13724,3,3,5,1,,,,
13725,4,3,5,4,,,,
13726,4,1,1,4,,,,
13727,4,4,5,3,,,,
13728,4,4,4,1,,,,
13729,4,2,4,2,,,,
13730,2,2,5,1,,,,
13731,4,4,4,2,,,,
13732,2,4,2,2,,,,
13733,2,2,2,4,,,,
13734,2,3,3,3,,,,
13735,4,1,5,1,,,,
13736,4,3,2,2,,,,
13737,2,3,2,1,,,,
13738,2,2,2,2,,,,
13739,4,2,3,1,,,,
13740,3,4,4,4,,,,
13741,4,5,4,2,,,,
13742,2,2,4,4,,,,
13743,4,4,3,4,,,,
13744,2,2,2,5,,,,
13745,4,4,2,2,,,,
13746,4,2,2,1,,,,
13747,4,4,3,1,,,,
13748,2,2,2,5,,,,
13749,2,2,5,4,,,,
13750,4,5,1,2,,,,
13751,3,4,5,3,,,,
13752,4,4,2,2,,,,
13753,3,2,2,1,,,,
13754,5,5,4,1,,,,
13755,2,2,2,1,,,,
13756,3,3,2,3,,,,
13757,4,3,5,4,,,,
13758,4,4,4,4,,,,
13759,2,2,2,5,,,,
13760,2,3,5,1,,,,
13761,4,3,2,3,,,,
13762,4,3,2,3,,,,
13763,4,4,3,1,,,,
13764,4,3,2,5,,,,
13765,1,1,1,5,,,,
13766,2,4,1,3,,,,
13767,3,4,2,5,,,,
13768,4,4,2,3,,,,
13769,2,2,2,5,,,,
13770,4,2,4,2,,,,
13771,4,4,5,1,,,,
13772,3,3,2,5,,,,
13773,2,2,2,5,,,,
13774,2,1,5,1,,,,
13775,3,3,3,2,,,,
13776,4,4,4,5,,,,
13777,4,3,5,1,,,,
13778,4,5,5,3,,,,
13779,3,3,5,4,,,,
13780,4,4,4,5,,,,
13781,4,4,4,2,,,,
13782,5,5,5,3,,,,
13783,4,2,4,3,,,,
13784,4,4,3,4,,,,
13785,4,4,4,3,,,,
13786,4,3,4,5,,,,
13787,2,3,4,2,,,,
13788,3,3,4,5,,,,
13789,3,3,3,4,,,,
13790,4,4,4,1,,,,
13791,2,2,5,5,,,,
13792,4,4,4,2,,,,
13793,3,4,2,3,,,,
13794,2,2,4,1,,,,
13795,2,2,5,2,,,,
13796,3,3,5,4,,,,
13797,2,2,5,1,,,,
13798,4,4,4,4,,,,
13799,4,3,4,1,,,,
13800,4,3,5,3,,,,
13801,3,4,2,5,,,,
13802,4,3,5,5,,,,
13803,2,2,5,2,,,,
13804,2,2,2,1,,,,
13805,2,2,5,4,,,,
13806,4,4,4,1,,,,
13807,3,3,3,4,,,,
13808,4,4,4,4,,,,
13809,3,4,4,1,,,,
13810,2,3,4,4,,,,
13811,3,4,4,5,,,,
13812,2,2,5,5,,,,
13813,3,2,5,5,,,,
13814,4,3,5,4,,,,
13815,4,3,3,3,,,,
13816,3,3,4,5,,,,
13817,4,4,5,2,,,,
13818,2,2,5,5,,,,
13819,4,4,4,5,,,,
13820,4,3,3,4,,,,
13821,4,5,4,5,,,,
13822,2,2,5,2,,,,
13823,3,4,1,1,,,,
13824,2,2,4,4,,,,
13825,4,4,4,4,,,,
13826,4,3,5,1,,,,
13827,4,4,3,5,,,,
13828,4,4,4,2,,,,
13829,4,3,3,4,,,,
13830,4,4,2,4,,,,
13831,2,4,1,5,,,,
13832,4,3,4,1,,,,
13833,4,2,4,4,,,,
13834,2,4,2,5,,,,
13835,4,5,4,1,,,,
13836,4,2,4,2,,,,
13837,2,4,5,4,,,,
13838,3,2,4,5,,,,
13839,4,5,5,5,,,,
13840,2,2,5,4,,,,
13841,4,5,5,2,,,,
13842,4,4,4,5,,,,
13843,2,3,4,5,,,,
13844,2,4,2,1,,,,
13845,4,5,4,4,,,,
13846,4,2,5,3,,,,
13847,2,1,5,2,,,,
13848,4,4,4,5,,,,
13849,2,2,2,1,,,,
13850,4,4,4,4,,,,
13851,2,2,2,2,,,,
13852,1,1,2,1,,,,
13853,1,1,2,2,,,,
13854,1,1,2,4,,,,
13855,3,3,2,1,,,,
13856,4,4,5,2,,,,
13857,2,1,2,5,,,,
13858,2,3,4,5,,,,
13859,4,3,3,4,,,,
13860,3,4,4,4,,,,
13861,3,3,2,5,,,,
13862,2,1,1,4,,,,
13863,2,3,4,4,,,,
13864,4,2,4,1,,,,
13865,4,4,4,1,,,,
13866,2,2,2,4,,,,
13867,3,5,4,4,,,,
13868,4,5,4,3,,,,
13869,3,4,3,1,,,,
13870,2,2,2,2,,,,
13871,3,3,3,1,,,,
13872,4,5,5,2,,,,
13873,2,3,2,2,,,,
13874,5,5,5,4,,,,
13875,2,3,2,3,,,,
13876,2,2,2,1,,,,
13877,3,3,4,2,,,,
13878,4,4,2,1,,,,
13879,3,5,5,2,,,,
13880,4,4,4,1,,,,
13881,2,1,5,4,,,,
13882,2,2,4,2,,,,
13883,3,2,3,4,,,,
13884,4,4,2,4,,,,
13885,4,4,2,5,,,,
13886,3,5,1,2,,,,
13887,1,5,1,1,,,,
13888,3,3,3,1,,,,
13889,2,3,3,5,,,,
13890,4,3,5,4,,,,
13891,2,2,2,2,,,,
13892,2,3,3,3,,,,
13893,2,4,4,2,,,,
13894,4,4,2,1,,,,
13895,2,2,2,1,,,,
13896,2,3,2,1,,,,
13897,3,2,2,3,,,,
13898,2,3,5,4,,,,
13899,4,4,3,4,,,,
13900,4,5,4,5,,,,
13901,3,1,5,1,,,,
13902,2,3,3,3,,,,
13903,2,2,2,3,,,,
13904,2,4,4,1,,,,
13905,3,3,3,5,,,,
13906,3,3,3,5,,,,
13907,3,3,4,3,,,,
13908,4,4,4,5,,,,
13909,4,4,4,3,,,,
13910,4,3,4,5,,,,
13911,2,3,4,2,,,,
13912,3,3,3,1,,,,
13913,2,3,4,5,,,,
13914,2,3,2,5,,,,
13915,3,3,2,1,,,,
13916,4,5,1,2,,,,
13917,4,2,2,5,,,,
13918,4,2,2,1,,,,
13919,2,4,2,3,,,,
13920,2,2,2,4,,,,
13921,4,5,4,5,,,,
13922,3,3,2,2,,,,
13923,5,4,5,3,,,,
13924,3,2,2,3,,,,
13925,3,2,2,4,,,,
13926,2,2,2,3,,,,
13927,3,3,3,5,,,,
13928,1,1,1,2,,,,
13929,2,2,5,5,,,,
13930,2,2,2,4,,,,
13931,2,2,2,1,,,,
13932,2,2,4,5,,,,
13933,4,3,4,2,,,,
13934,4,2,2,3,,,,
13935,4,4,1,1,,,,
13936,2,4,2,2,,,,
13937,4,3,4,4,,,,
13938,2,3,2,1,,,,
13939,3,3,3,4,,,,
13940,2,2,2,1,,,,
13941,2,2,4,3,,,,
13942,3,4,4,5,,,,
13943,4,3,2,5,,,,
13944,2,1,1,2,,,,
13945,1,1,1,1,,,,
13946,4,4,3,4,,,,
